title,description,cuisine,ingredient_list,serving,prep_time,cook_time,source,steps,recipe_url,image_url
Chicken salad,"A fresh and colourful, high protein chicken salad for two, perfect as a relaxed summer lunch or packed into a picnic. By chopping all the ingredients into bite-size pieces, every mouthful becomes a different mix of flavours and textures. Each serving provides 633 kcal, 68.3g protein, 25.3g carbohydrate (of which 6.1g sugars), 26.4g fat (of which 2.9g saturates), 10.9g fibre and 0.32g salt.",British,"['2 chicken breasts (approx. 350g/12oz), boneless and skinless', '1 tbsp rapeseed or olive oil', '400g tin chickpeas', '1 unwaxed lemon, zest and juice', '2 spring onions, washed, trimmed and finely sliced', '10 cherry tomatoes, cut into quarters', '¼ cucumber (approx. 100g/3½oz), cut into small chickpea-sized cubes', '10g/⅓oz fresh mint leaves (approx. 1 handful), finely chopped', '10g/⅓oz fresh parsley leaves, (approx. 1 handful), finely chopped', '2 tbsp mayonnaise', '2 small handfuls of mixed salad leaves', 'salt and freshly ground black pepper']",Serves 2,less than 30 mins,10 to 30 mins,BBC Food,"['Season the chicken breasts both sides with salt and pepper. Place a frying pan on a medium heat and add the oil. Cook the breasts for 6–8 minutes on each side or until cooked through then transfer them to a plate to rest for a few minutes and cool slightly.', 'In a sieve, drain and lightly rinse the chickpeas then give a little shake to dry. Tip them into a large mixing bowl and stir in the lemon zest and juice.', 'Add in the spring onions, cherry tomatoes, cucumber, mint, parsley and mayonnaise, season with salt and pepper then mix well.', 'Slice the chicken into bite-sized pieces and add to the bowl along with the salad leaves. Mix again then serve.']",https://www.bbc.co.uk/food/recipes/chicken_salad_12627,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chicken_salad_12627_16x9.jpg
Toad in the hole,You've got to love a warming toad-in-the-hole recipe when there's a nip in the air. Skip the garlic cabbage if you like and serve with another green vegetable of your choice. This is designed to be a low cost recipe.,British,"['175g/6oz plain flour', 'salt and black pepper', '3 free-range eggs', '300ml/10fl oz milk', '2 tbsp olive oil', '8 sausages', '1 tbsp olive oil', '2 onions, finely sliced', '½ tsp English mustard', '500ml/18fl oz stock (from a stock cube, ideally beef although chicken or vegetable is fine)', '1 Savoy cabbage, shredded, core discarded', '½ tbsp olive oil', '2 garlic cloves, peeled and finely chopped']",Serves 4,1-2 hours,30 mins to 1 hour,BBC Food,"['For the batter, sieve the flour into a bowl and season with salt and pepper. Make a well in the middle and break in the eggs. Whisk the eggs slowly into the flour. Once combined, pour in the milk while you whisk so that you have a smooth, lump-free batter the consistency of double cream (if the batter is too thick then add a little water). Cover the batter and rest in the fridge for one hour.', 'Preheat the oven to 200C/180C Fan/Gas 6.', 'For the onion gravy, heat a heavy-based frying pan over a low heat. Add the oil, onions and a pinch of salt. Cook gently for 15–20 minutes, or until completely collapsed and dark golden-brown in colour. If the onions are cooking too quickly, then cover with a lid while they cook.', 'Once the onions are completely softened and dark golden-brown, stir in the mustard and a pinch of pepper and then add the stock. Bring the mixture to the boil, reduce to a simmer and simmer for 10–15 minutes, or until the volume of liquid has reduced by half. Taste and adjust the seasoning as necessary.', 'Put a roasting tray (about 30x20x6cm/12x8x2½in) into the preheated oven. Once really hot, add the olive oil and the sausages. Brown the sausages in the hot oven, turning now and again until coloured on all sides (they don’t need to be cooked through).', 'Whisk the rested batter and pour it into the hot tin over the browned sausages. Return to the oven and cook for a further 30–35 minutes, or until the batter is risen and golden-brown all over.', 'While the toad in the hole is cooking, prepare the cabbage. Wilt the shredded cabbage in a high sided frying pan or shallow saucepan with 3–4 tablespoons of water over a medium high heat for 6–8 minutes, stirring occasionally. Once the cabbage is tender pour off any excess water (or add it to the gravy).', 'Add the oil to the pan along with the garlic. Fry over a medium high heat for 2–3 minutes, or until the garlic is softened and aromatic. Season the cabbage with salt and pepper and keep warm.', 'Reheat the onion gravy and serve the cooked toad in the hole in wedges with the cabbage alongside.']",https://www.bbc.co.uk/food/recipes/toad_in_the_hole_with_86283,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/toad_in_the_hole_with_86283_16x9.jpg
Easy chicken casserole,"An easy chicken casserole recipe should be in every cook's little black book and this one will go down well with all of the family. Serve with mashed or boiled potatoes, or rice. Each serving provides 425 kcal, 48g protein, 13g carbohydrates (of which 7.5g sugars), 19g fat (of which 5g saturates), 5g fibre and 2.4g salt.",British,"['8 bone-in, skin-on chicken thighs (around 850g/1lb 14oz)', '1 tbsp olive or sunflower oil', '1 onion, thinly sliced', '4 rashers smoked back bacon, cut into roughly 2cm/¾in slices', '150g/5½oz small mushrooms, halved or quartered if larger', '3 medium carrots, peeled and cut into roughly 1.5cm/⅝in slices', '20g/¾oz plain flour (around 2 tbsp)', '1 tsp dried thyme or 1 tbsp fresh thyme leaves', '500ml/18fl oz hot chicken stock (made with 1 stock cube)', '1 medium leek, trimmed and cut into roughly 1cm/½in slices', 'salt and freshly ground black pepper']",Serves 4,less than 30 mins,1 to 2 hours,BBC Food,"['Preheat the oven 190C/170C Fan/Gas 5. Season the chicken thighs all over with a little salt and lots of black pepper.', 'Heat the oil in a large non-stick casserole pan over a medium heat and fry the chicken for 7–8 minutes, skin-side down, or until the skin is nicely browned. Turn and cook on the other side for 3 minutes more. Transfer to a plate.', 'Return the pan to the heat and add the onion, bacon and mushrooms. Fry over a medium-high heat for 4–5 minutes, or until lightly browned, stirring regularly. Add the carrots and flour and toss together well.', 'Sprinkle with the thyme, then pour in the stock, a little at a time, stirring well between each addition. Add the chicken pieces back to the pan and bring to a gentle simmer. Cover the pan with a lid.', 'Place in the oven and cook for 45 minutes. Take out of the oven and stir in the leeks.', 'Return to the oven for a further 15 minutes, or until the chicken and leeks are tender and the sauce has thickened. Serve.']",https://www.bbc.co.uk/food/recipes/chickencasserole_85719,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chickencasserole_85719_16x9.jpg
Mutton-stuffed johnny cakes with curry broth and pickle,"Johnny cakes are popular in the Caribbean – they are served here with a spicy mutton filling, a curry broth and escovitch pickle.",Caribbean,"['2 fresh thyme sprigs (about 10g)', '1 bay leaf', '50g/1¾oz flatleaf parsley', '4 spring onions, chopped', '10 garlic cloves, chopped', '1 Scotch bonnet, chopped', '6 small Caribbean seasoning peppers (or mixture red, yellow or green pimento peppers), approximately 20g/¾oz, chopped', '½ onion, chopped', '400ml/14fl oz olive oil', '1kg/2lb 4oz chopped mutton, on the bone', 'large pinch salt', '1–2 tsp unsalted butter', '1 tsp turmeric', '1 tsp black cardamom, bashed', '1 tsp ground cumin', '1 tsp ground coriander', '2 star anise', '1 cinnamon stick', '1 onion, finely diced', '1 Scotch bonnet, finely chopped', '1 carrot, peeled and chopped', '1 litre/1¾ pints beef or lamb stock', '2 generous pinches salt', '500g/1lb 2oz self-raising flour, plus extra for dusting', '400ml tin coconut milk', '20g/¾oz caster sugar (or coconut sugar)', '1 tsp turmeric', '1 tsp Caribbean curry powder', '4 tsp baking powder', '2 tsp salt', '2 tbsp coconut milk', '1 free-range egg yolk, lightly beaten', '1 onion, very thinly sliced', '2 Scotch bonnets, very thinly sliced', '1 large beetroot, peeled and very thinly sliced', 'handful green leek tops, very thinly sliced', '250ml/9fl oz white vinegar', '300ml/½pt water', '20g/¾oz caster sugar', '1 tsp allspice berries', '5g black peppercorns', '4 tbsp olive oil']",Serves 4,overnight,over 2 hours,BBC Food,"['To make the Antigua green seasoning, blend all of the ingredients together with a hand blender or in a food processor. Keep in a screw-top jar in the fridge.', 'To make the mutton, place the meat in a large bowl and add 3 tablespoons of the green seasoning (store any remaining seasoning back in the fridge). Season with the salt, stir to coat and leave to marinate for 2 hours in the fridge. Brown the meat in the butter until golden, for 10–15 minutes. Fry in batches so as not to overcrowd the pan. Then set aside for later.', 'To make the curry, heat a small splash of oil in a large casserole and fry the spices for a couple of minutes. Add the onion and cook until softened. Add the Scotch bonnet and gently fry for a further couple of minutes. Add the carrot and fry for few minutes. Add the browned meat and give it a good stir. Pour in the stock and add the salt. Cover and simmer for around 4 hours or until the meat is meltingly tender. Keep an eye on the levels of liquid in the pan and keep topping up so that the meat is covered. Once cooked, remove the meat with a slotted spoon, leaving the liquor behind in the pan as this will become the broth. Set the meat aside to cool completely (overnight in the fridge ideally) and then pull the meat from the bone.', 'To make the johnny cakes, bring all of the ingredients together in a large bowl to form a soft dough. Lightly dust a work surface with flour, tip the dough out and knead gently for 2–3 minutes. Divide into 12–16 even-sized pieces and roll them into rough balls. Leave on a tray and cover with a tea towel for 30 minutes.', 'Preheat the oven to 170C/150C Fan/Gas 3. Roll out each ball of dough into a rough circle and, using a 9cm/3½in round cookie cutter, cut out 12–16 circles. Take a tablespoon of the chilled meat that you have pulled off the bone and place in the middle of each circle. Bring the dough up around the meat and pinch gently at the top to create a dumpling or patty shape. Lay on a baking tray lined with baking paper. Brush each johnny cake with a mix of the coconut milk and egg yolk and bake in middle of the oven for around 25 minutes until golden.', 'Meanwhile, place the remaining cooking liquor from the mutton curry over a medium–high heat and gently simmer until it reduces a little. Once bubbling, turn off the heat and stir through a little butter.', 'To make the pickle, slice all the vegetables evenly and very thinly – use a mandolin to make it easier but a good sharp knife will do just as well. Place all the vegetables in a saucepan and add the sugar, spices, vinegar and water. Place over a low heat and stir to dissolve the sugar for a few minutes. Set aside to cool. Blend the pickle mixture with a hand blender or in a food processor and add some oil to emulsify it. Place in a squeezy bottle.', 'Serve the johnny cakes and broth with the pickle for squeezing over.']",https://www.bbc.co.uk/food/recipes/mutton-stuffed_johnny_28895,
Jamaican-style beef and pepper stir fry,"Jazz-up your weekday stir fry with rib-eye strips in a jerk marinade, a trio of peppers and herb-heavy green seasoning.",Caribbean,"['250g/9oz rib-eye steak, sliced', '1–2 tbsp jerk seasoning', '2 tsp smoked paprika', '1 tbsp onion powder', '1 tbsp olive oil', '1 red onion, chopped', '½ red pepper, slice into strips', '½ green pepper, sliced into strips', '½ yellow pepper, sliced into strips', '1 small piece scotch bonnet chilli', '3 garlic cloves, chopped', '1 tbsp chopped fresh root ginger', '½ tbsp chopped fresh thyme', '2 tbsp honey', '1 tbsp tomato ketchup', '1 tbsp Worcestershire sauce', 'cooked rice, to serve', '½ bunch fresh coriander', '½ bunch fresh parsley', '½ bunch fresh chives', '3 garlic cloves, peeled', '2 tbsp vegetable oil', '2 green chillies, chopped', '1 bunch spring onions, chopped', '1 green pepper, deseeded and chopped', '2 limes, juice only', '1 tsp freshly ground black pepper']",Serves 2,over 2 hours,10 to 30 mins,BBC Food,"['Toss the beef slices and seasoning ingredients in a large bowl. Set to one side for a few hours, or overnight.', 'Set a large frying pan over a high heat. Add the olive oil and, once hot, place the marinated beef into the pan and fry for 2–3 minutes to cook the outside. Remove and set aside.', 'Tip the oil out of the steak pan (discard it), then add the red onion, peppers and scotch bonnet chilli. Sauté for 15 minutes until soft.', 'Meanwhile, to make the green seasoning, put all the ingredients into a blender or food processor and blend until smooth. Set aside.', 'When the veggies are soft, add the garlic, ginger, thyme and 4 tablespoons of the green seasoning to the pan. Stir in the honey, ketchup, Worcestershire sauce and finally the beef. Check the seasoning and serve with cooked rice.']",https://www.bbc.co.uk/food/recipes/jamaican-style_pepper_74364,
"Fried chicken, ital vegetables and rundown sauce",All the flavours of the Caribbean are here in this delicious celebration dish that is perfect for a summer dinner party or special occasion meal. Serve with Andi's sweet potato roti .,Caribbean,"['1 tbsp vegetable oil', '1 onion, thinly sliced', '3 garlic cloves, finely chopped', '1 Scotch Bonnet, left whole', '2 tsp cumin', '2 tsp ground coriander', '2½ tsp ground allspice', '2 tsp coarsely ground black pepper', '2 tsp ground turmeric', '2 cinnamon sticks', '400ml tin coconut milk', '100g/3½oz coconut cream, grated', '6 cherry tomatoes', '200ml/7fl oz vegetable stock', '1 free-range egg', '50ml/2fl oz milk', '100g/3½oz plain flour', '1 tsp ground cumin', '1 tsp paprika', '1 tsp ground coriander', '1 tsp ground allspice', '2 chicken thighs, skin on, boneless and cut into 3 pieces each', '100g/3½oz breadcrumbs', 'vegetable oil, for frying', 'salt and freshly ground black pepper', '3 tbsp vegetable oil', '2 large onions, cut into quarters', '1 red onion, cut into quarters', '2 large carrots, peeled, diced and par-boiled', '2 tsp ground cumin', '2 tsp ground coriander', '2 tsp ground turmeric', '125g/4½oz spinach, wilted and chopped', '125g/4½oz rainbow chard, wilted and chopped', '100ml/3½fl oz white vinegar', '100g/3½oz caster sugar', '6 black peppercorns, crushed', '1 mango, peeled and chopped', '1 long red chilli, finely sliced', '2 tbsp chopped fresh coriander', '4 spring onions, chopped', '2 tbsp chopped fresh flatleaf parsley']",Serves 4,30 mins to 1 hour,30 mins to 1 hour,BBC Food,"['To make the rundown sauce, heat the oil in a frying pan and gently fry the onion and garlic. Add the scotch bonnet and fry until the onions are softened. Add all of the spices, stir gently and let it sizzle for a few minutes. Add the coconut milk and coconut cream and simmer gently for about 20 minutes. Add the tomatoes and stock and simmer gently for a further 30 minutes to reduce and thicken.', 'To make the fried chicken, beat the egg and milk together in a small jug. Mix the flour, cumin, paprika, coriander and allspice in a wide bowl and season with salt and pepper. Dip each chicken piece into the egg mixture, then the flour mixture, then back into the egg and then into the breadcrumbs. Chill in the fridge for about 30 minutes. Preheat a deep fat fryer to 180C. (CAUTION: hot oil can be dangerous. Do not leave unattended.) Fry the chicken pieces in the deep fat fryer for 3 minutes on each side until golden. Carefully transfer to kitchen paper to drain.', 'To make the ital vegetables, preheat the oven to 200C/180C Fan/Gas 6. Heat 1 tablespoon of oil in a frying pan and fry the onions until slightly softened. Add the carrots and spices to the pan and stir to mix. Transfer to a roasting tin and drizzle the remaining oil over the vegetables. Roast for 25 minutes or until tender. Remove from the oven and stir through the greens.', 'To make the pickle, place the vinegar, sugar and peppercorns in a saucepan and heat until the sugar is dissolved. Leave to cool a little and add the mango and chilli. Leave to pickle for 10 minutes.', 'Serve the chicken and ital vegetables on plates and pour the rundown sauce on top. Garnish with coriander, spring onion, and parsley. Finish with the mango pickle.']",https://www.bbc.co.uk/food/recipes/sweet_potato_roti_with_41915,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/sweet_potato_roti_with_41915_16x9.jpg
Jamaican beef patties,These spicy Jamaican patties are a traditional staple in the Caribbean. They make a great picnic or barbecue addition.,Caribbean,"['300g/10½oz plain flour, plus extra for dusting', '1½ tbsp Madras curry powder', '1½ tbsp ground turmeric', 'pinch salt', '165g/5¾oz unsalted butter, chilled and diced', '1 large free-range egg, beaten', '2 tbsp rapeseed oil', '1 onion, finely diced', '4 large garlic cloves, crushed', '2 tsp Madras curry powder', '2½ tbsp snipped chives', '1½ tbsp chopped thyme leaves', '300g/10½oz lean beef mince', '125ml/4fl oz beef stock', '1 tsp molasses sugar (or dark brown sugar)', '1 tsp Scotch bonnet hot sauce or 1cm/½in piece Scotch bonnet chilli, finely chopped', '1 slice white or wholemeal bread, torn into tiny pieces', 'salt and freshly ground black pepper', '2 tbsp rapeseed oil', '1 tbsp freshly squeezed orange juice', '2 tbsp lime juice', '1½ tsp honey', '1½ tsp caster sugar', '1½ tsp grated ginger', 'salt and freshly ground black pepper', '8 heritage tomatoes, sliced', '4 small oranges, peeled and sliced', '¼ red onion, finely sliced', 'salt and freshly ground black pepper']",Serves 6,1-2 hours,30 mins to 1 hour,BBC Food,"['For the pastry, sift together the flour, curry powder, turmeric and salt into the bowl of a food processor. Add the butter and pulse until the mixture looks like coarse sand. With the motor running, gradually add 4–6 tablespoons of ice cold water until the dough starts to come together. Add just enough water to bind the dough.', 'Roll the dough into a ball and wrap in cling film. Leave to rest in the fridge for 30 minutes. (You can also prepare the pastry for this recipe in advance, just bring it back to room temperature before rolling out).', 'For the filling, heat the oil in a large saucepan, add the onion and a pinch of salt and cook for about 5–10 minutes until softened. Add the garlic, curry powder, chives and thyme (and if you are using fresh Scotch bonnet, add this now too). Leave to cook for another minute, until the aromas are released. Add the minced beef, breaking it up with a wooden spoon and allow it to brown all over for about 5 minutes.', 'Add the stock, sugar and scotch bonnet hot sauce, bring to the boil and reduce the heat. Cover the pan with a lid and let the mixture simmer for about 10 minutes. Add the bread, return the lid to the pan and let the mixture continue to simmer for a further 10 minutes. Remove the pan from the heat, season with salt and pepper and leave to cool.', 'Preheat the oven to 220C/200 Fan/Gas 7.', 'Remove the pastry from the fridge and roll out with a flour-dusted rolling pin onto a large sheet of greaseproof paper to a thickness of about 3mm. Cut out six circles from the pastry, using a side plate as a guide for the sizing.', 'Divide the filling between the six circles, spooning the mixture on to one half of each pastry circle and leaving space around the edge to allow for sealing the pastry. Wet the edges of the pastry and fold the non-filled half of the pastry over the filled half and use a fork to press down all around the edges.', 'Place the patties on a baking tray, brush with the egg and bake for 20 minutes, or until the pastry is golden and cooked through.', 'For the ginger-citrus dressing, whisk together all the ingredients, ensuring they are well combined. Season with salt and pepper.', 'For the salad, arrange the tomato, orange and red onion on serving plates and pour over the dressing. Sprinkle over a pinch of sea salt and pepper. Leave to sit for 20 minutes at room temperature, to allow the flavours to develop.', 'Serve the patties with the salad alongside.']",https://www.bbc.co.uk/food/recipes/jamaican_beef_patties_28917,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/jamaican_beef_patties_28917_16x9.jpg
Curry chicken with escovitch pickle and mofongo,"This recipe is a real showcase of the best of Caribbean cooking – spicy chicken curry, tangy escovitch pickle and mashed plantain mofongo. You will need Andi Oliver's green seasoning for this recipe.",Caribbean,"['8 chicken thighs and/or legs, skin on and bone-in', 'splash lemon juice or white wine vinegar (optional)', '3 tbsp green seasoning', '1 tsp salt', '3 garlic cloves, finely grated', '1 Scotch bonnet or any chilli, finely chopped', '2 tbsp ghee or rapeseed oil', '1 large onion, finely chopped', '3 tbsp Caribbean curry powder', '375ml/13fl oz chicken stock', '2 tbsp chopped fresh coriander, to garnish', 'julienned spring onions, to garnish', 'julienned green chillies, to garnish', '1 lime, juice only', '1 blood orange, juice only', '3 tbsp caster sugar', '1 tsp allspice berries', '1 tsp juniper berries', '1 tsp black peppercorns', '50g/1¾oz coconut shavings', '1 onion or shallot, thinly sliced', '1 Scotch bonnet chilli (or 2 if you like it truly hot), finely sliced', '½ carrot, peeled and thinly sliced', '½ red pepper, seeds removed and thinly sliced', '½ green pepper, seeds removed and thinly sliced', '2 tbsp neutral oil, such as rapeseed or sunflower oil, for frying', '200g/7oz streaky bacon, thinly sliced', '7 unripe green plantains or bananas, peeled and chopped into even-sized chunks', '6 garlic cloves, peeled and left whole', 'handful pork scratchings', '2 tbsp good-quality extra virgin olive oil', '1 lime, juice only', '4 tbsp caramelised onions', '2–3 tbsp chopped fresh flatleaf parsley or coriander, to garnish', 'salt and freshly ground black pepper']",Serves 6–8,overnight,1 to 2 hours,BBC Food,"['Place the chicken in a large bowl. Add the green seasoning, salt and roughly half of the garlic and chilli. Mix with your hands so that the chicken is well coated. Marinate the chicken in the fridge, ideally overnight or for a minimum of 30 minutes.', 'Heat the ghee in a large saucepan over a medium–high heat. Fry the marinated chicken until nicely browned on all sides, then remove from the pan to a plate and set aside.', 'Lower the heat to medium–low, then add the onion and remaining garlic and chilli. Lightly fry for 5 minutes until slightly softened. Add the curry powder and just a little splash of water, enough to form a paste. Gently cook for 2 minutes, being careful not to burn the spices.', 'Add the browned chicken back to the pan and stir well, making sure it is completely coated in the curry paste. Increase the heat to medium–high, add the stock, cover the pan and simmer for about 1 hour until the chicken is cooked through and tender. The chicken is cooked through when the juices run clear with no trace of pink when the thickest part of the leg, between the drumstick and the thigh, is pierced with a skewer.', 'To make the escovitch pickle, bring the vinegar, sugar, spices and 3½ tablespoons water to a simmer in a saucepan over a medium heat, stirring a little to dissolve the sugar. Remove from the heat and add all of the remaining ingredients to the pan. Leave to cool and pickle. Stir in the shaved coconut.', 'To make the mofongo, heat the neutral oil in a frying pan and fry the bacon until crispy. Turn off the heat, remove the meat to a plate and set aside. Leave the fat that has come out of the meat in the pan to make a sauce later.', 'Soak the plantain in a bowl of water seasoned with a large pinch of salt for 15 minutes. The salty water will season the plantain or bananas and take away some of the chalkiness. Drain and dry them well using kitchen paper.', 'Heat a generous splash of the neutral oil in a heavy-based frying pan over a medium–low heat. Fry the plantains for about 10–15 minutes until soft and lightly golden brown. Drain the excess oil on kitchen paper and set aside to cool.', 'Add the garlic, bacon, pork scratchings and extra virgin oil to a large bowl and mash them together using the end of a rolling pin or a pestle. Gradually add the cooked plantain and continue to vigorously mash until everything is thoroughly combined. Season with salt and pepper and add the lime juice to taste. Pack individual portions of the mixture into 6–8 small bowls or dessert moulds and flip onto serving plates. Garnish with the caramelised onions and coriander.', 'Garnish the chicken curry with the coriander, spring onions and green chilli. Serve the curry and pickle on the plates with the mofongo.']",https://www.bbc.co.uk/food/recipes/curry_chicken_with_61342,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/curry_chicken_with_61342_16x9.jpg
